Title,Views,Upload Time,Duration,Thumbnails
Speed | رفتار | रफ़्तार,16K views,16K views,5:43,
Desire to Take Revenge | بدلہ کی آگ,17K views,17K views,6:16,
What's Left | کتنی رہ گئی؟ | कितनी रह गई,22K views,22K views,4:39,
How to go to America | امریکہ جانے کے حلال طریقے,27K views,27K views,6:06,
Interview with Yameenuddin Ahmed | انٹرویو یامین الدین کے ساتھ,22K views,22K views,50:46,
How to Make Money from Data Visualization? | Zeeshan Usmani,43K views,43K views,4:22,
Bypass Surgery Jafar Abbas - بائی پاس - جعفر عبّاس,3.4K views,3.4K views,3:23,
Tishnagi Jafar Abbas - تشنگی - جعفر عبّاس,2.4K views,2.4K views,4:35,
Cynical People | کڑوے لوگ  | सनकी लोग,39K views,39K views,9:08,
Daffodils (William Wordsworth) Urdu Translation,7.4K views,7.4K views,3:02,
Pakistan's Situation | پاکستان کے حالات | Afaque Akhtar,4.6K views,4.6K views,2:13,
Aik Urdu Ghazal | Rakh Ker Aik Dastar Sar Per Woh Sikandar Hogia | Afaque Akhtar | Urdu Poetry,3.7K views,3.7K views,3:03,
Second Income | سیکنڈ انکم  | दूसरी आय,44K views,44K views,7:14,
Unique Way of Personal Development | پرسنل ڈویلپمنٹ کا انوکھا طریقہ,39K views,39K views,7:00,
Who is Droupadi Murmu | دروپدی مورمو کون ہے؟ | कौन हैं द्रौपडो मुर्मू,26K views,26K views,9:43,
How You Can Help Me | آپ میری مدد کیسے کر سکتے ہیں؟ | आप किस तरह मेरी सहायता कर सकते हैं?,12K views,12K views,4:53,https://i.ytimg.com/vi/Wuvw3ks74kA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAn75v5zt73CCqRvezsCt2fm3byiw
What a Common Pakistani Can Do |موجودہ صورت حال میں عوام کیا کرے؟,22K views,22K views,10:57,https://i.ytimg.com/vi/-JVJvnMm794/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGeR1J-WxLJRkWrOI9raKFyIXKcQ
Divine Trigger | قدرت کا ٹریگر,22K views,22K views,7:11,https://i.ytimg.com/vi/ubuAruhpU8k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvNPGAEmVzAsMfWuDuFNt_CQ-K3A
Take Care of Your Husband | شوہر کو پھنسائیں,658K views,658K views,11:30,https://i.ytimg.com/vi/9c9euwlp6WM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlYs_Q4WLeH1ebbAFc5bbgCm1syw
